% x                       y                        z                        abs(c) (mol/m^3) @ t=36000
0.1                       0.05                     0.025                    0.4177083643058742
0.11                      0.05                     0.025                    0.2941357544458535
0.12                      0.05                     0.025                    0.23971288365582383
0.13                      0.05                     0.025                    0.28881108300311675
0.14                      0.05                     0.025                    0.4012674948095102
0.15                      0.05                     0.025                    0.4940915797989709
0.16                      0.05                     0.025                    0.5309696757817133
0.17                      0.05                     0.025                    0.4859222802766278
0.18                      0.05                     0.025                    0.3723781081142344
0.19                      0.05                     0.025                    0.24224778666881883
0.2                       0.05                     0.025                    0.1391184029467943
0.21                      0.05                     0.025                    0.0587854029802102
0.22                      0.05                     0.025                    0.014064379502064019
0.23                      0.05                     0.025                    0.0012442516846837084
0                         0.06                     0.025                    0.039639478031273136
0.01                      0.06                     0.025                    0.11108803162148752
0.02                      0.06                     0.025                    0.2910800208667706
0.03                      0.06                     0.025                    0.6278536574917163
0.04                      0.06                     0.025                    1.0553937048244615
0.05                      0.06                     0.025                    1.5349880681526862
0.06                      0.06                     0.025                    1.9501929469226214
0.07                      0.06                     0.025                    2.1256672102764433
0.08                      0.06                     0.025                    1.967355539185741
0.09                      0.06                     0.025                    1.5759266091581825
0.1                       0.06                     0.025                    1.138113158235147
0.11                      0.06                     0.025                    0.8237847434710284
0.12                      0.06                     0.025                    0.7050538263976318
0.13                      0.06                     0.025                    0.8064283802395548
0.14                      0.06                     0.025                    0.9872938489040617
0.15                      0.06                     0.025                    1.214521080074825
0.16                      0.06                     0.025                    1.2863128990191988
0.17                      0.06                     0.025                    1.2020889604739242
0.18                      0.06                     0.025                    0.987471826492524
0.19                      0.06                     0.025                    0.6791814790531587
0.2                       0.06                     0.025                    0.38442301827058756
0.21                      0.06                     0.025                    0.1749472871206785
0.22                      0.06                     0.025                    0.0682350550796524
0.23                      0.06                     0.025                    0.02313825124375565
0                         0.07                     0.025                    0.12959551211012213
0.01                      0.07                     0.025                    0.2983311136417714
0.02                      0.07                     0.025                    0.6719440326912525
0.03                      0.07                     0.025                    1.2790973292065475
0.04                      0.07                     0.025                    2.283773158798666
0.05                      0.07                     0.025                    3.275150130734328
0.06                      0.07                     0.025                    4.048111332734456
0.07                      0.07                     0.025                    4.298932335681498
0.08                      0.07                     0.025                    4.049026252844156
0.09                      0.07                     0.025                    3.287637246343188
0.1                       0.07                     0.025                    2.413911986977537
0.11                      0.07                     0.025                    1.7607730988704604
0.12                      0.07                     0.025                    1.492559961176504
0.13                      0.07                     0.025                    1.688560544397217
0.14                      0.07                     0.025                    2.0918973897615736
0.15                      0.07                     0.025                    2.5055516452105326
0.16                      0.07                     0.025                    2.6851876958705985
0.17                      0.07                     0.025                    2.485033291254687
0.18                      0.07                     0.025                    2.016924538159905
0.19                      0.07                     0.025                    1.410914473129768
0.2                       0.07                     0.025                    0.8277295067115347
0.21                      0.07                     0.025                    0.4140923365942979
0.22                      0.07                     0.025                    0.18960537494467836
0.23                      0.07                     0.025                    0.07858708460149566
0                         0.08                     0.025                    0.3061716259880578
0.01                      0.08                     0.025                    0.5566129365876564
0.02                      0.08                     0.025                    1.2319493121408307
0.03                      0.08                     0.025                    2.4619528505879
0.04                      0.08                     0.025                    3.9536329200933022
0.05                      0.08                     0.025                    5.668348146799863
0.06                      0.08                     0.025                    7.016891132373821
0.07                      0.08                     0.025                    7.484202755189308
0.08                      0.08                     0.025                    7.024514208806233
0.09                      0.08                     0.025                    5.850886442396874
0.1                       0.08                     0.025                    4.352382662297677
0.11                      0.08                     0.025                    3.2438073434579753
0.12                      0.08                     0.025                    2.7442706014898905
0.13                      0.08                     0.025                    3.0311958208407965
0.14                      0.08                     0.025                    3.7336281513645426
0.15                      0.08                     0.025                    4.396493534336619
0.16                      0.08                     0.025                    4.6824783074246445
0.17                      0.08                     0.025                    4.381756760807669
0.18                      0.08                     0.025                    3.558305633245392
0.19                      0.08                     0.025                    2.4714764954703625
0.2                       0.08                     0.025                    1.5298953986905404
0.21                      0.08                     0.025                    0.7742168213696866
0.22                      0.08                     0.025                    0.354433404089588
0.23                      0.08                     0.025                    0.19202066437217885
0                         0.09                     0.025                    0.5255687231079886
0.01                      0.09                     0.025                    0.9257547487948381
0.02                      0.09                     0.025                    1.943532821762905
0.03                      0.09                     0.025                    3.7998063315030417
0.04                      0.09                     0.025                    6.099282338594853
0.05                      0.09                     0.025                    8.55257506884032
0.06                      0.09                     0.025                    10.511368929810674
0.07                      0.09                     0.025                    11.192895289797553
0.08                      0.09                     0.025                    10.535831781788614
0.09                      0.09                     0.025                    8.827877933056746
0.1                       0.09                     0.025                    6.651230688238441
0.11                      0.09                     0.025                    5.015248640075406
0.12                      0.09                     0.025                    4.350646175037634
0.13                      0.09                     0.025                    4.684365012950214
0.14                      0.09                     0.025                    5.649314438224131
0.15                      0.09                     0.025                    6.6466902165709865
0.16                      0.09                     0.025                    7.008026723608394
0.17                      0.09                     0.025                    6.58327058363191
0.18                      0.09                     0.025                    5.348829677373405
0.19                      0.09                     0.025                    3.812549554508356
0.2                       0.09                     0.025                    2.3639735000179045
0.21                      0.09                     0.025                    1.2265039845586918
0.22                      0.09                     0.025                    0.5654868490302731
0.23                      0.09                     0.025                    0.33374778464593974
0                         0.1                      0.025                    0.7225692532238188
0.01                      0.1                      0.025                    1.2843496728278798
0.02                      0.1                      0.025                    2.617749630675137
0.03                      0.1                      0.025                    4.986120912776869
0.04                      0.1                      0.025                    8.048986380628756
0.05                      0.1                      0.025                    11.292565332371543
0.06                      0.1                      0.025                    13.720703373136152
0.07                      0.1                      0.025                    14.678086721877563
0.08                      0.1                      0.025                    13.768489905308625
0.09                      0.1                      0.025                    11.468373121551389
0.1                       0.1                      0.025                    8.735679431968803
0.11                      0.1                      0.025                    6.633281962492357
0.12                      0.1                      0.025                    5.7303587780827945
0.13                      0.1                      0.025                    6.162460363301855
0.14                      0.1                      0.025                    7.421989652660327
0.15                      0.1                      0.025                    8.692797520921953
0.16                      0.1                      0.025                    9.18930687949875
0.17                      0.1                      0.025                    8.56239584415114
0.18                      0.1                      0.025                    7.013186706180868
0.19                      0.1                      0.025                    5.021983186896772
0.2                       0.1                      0.025                    3.104032403225089
0.21                      0.1                      0.025                    1.6405591602134146
0.22                      0.1                      0.025                    0.7960261455418556
0.23                      0.1                      0.025                    0.459348228150593
